fold,fpr,mediana,q1,q3,min,max
1,0.04471744471744472,0.11490810961032077,0.08758498967335729,0.1319478152743631,-0.25376822089482565,0.15391473293522673
2,0.047665847665847666,0.11564703271654547,0.08615284654627087,0.1323705263274815,-0.24511602889379636,0.15238826370819136
3,0.03734643734643735,0.11649637158216225,0.09056491089958343,0.1326983849100748,-0.18992169432198958,0.15275194945780785
4,0.051597051597051594,0.11521525737843008,0.08679644540201878,0.13138383548254118,-0.19544660242250944,0.15113816130250762
5,0.04717444717444717,0.11704858690470915,0.08909928181929477,0.1329083606778459,-0.2693661161653036,0.15336254783671555
