fold,indice_original,score,predicao
1,0,0.11618298379201303,1
1,3,0.08045350282312946,1
1,8,0.11559338590957474,1
1,10,0.11047672300810552,1
1,12,0.14363957187340393,1
1,14,0.12656736744721814,1
1,19,0.11625878707926535,1
1,20,0.13861763804700322,1
1,23,0.12816088638314532,1
1,29,0.12652880982432535,1
1,31,0.13947427074747187,1
1,33,0.12893224625364513,1
1,35,0.127663136632373,1
1,36,0.12744194665706465,1
1,37,0.14458424946176185,1
1,39,0.11033245664670538,1
1,47,0.11990791457126004,1
1,50,0.11570563928378685,1
1,58,0.07402847140922436,1
1,59,0.13459559533720938,1
1,63,0.12712255912064985,1
1,76,0.0875742555547202,1
1,80,0.12702660254093295,1
1,88,0.025426282007163847,1
1,92,0.10101048277913338,1
1,93,0.13293262060052335,1
1,95,0.0833151589914155,1
1,96,0.1080309157061562,1
1,101,0.10901672734770501,1
1,103,0.07852705101321089,1
1,106,0.042442994254294986,1
1,107,0.10300806132092721,1
1,108,0.10427052475370469,1
1,119,0.13285083558551625,1
1,131,0.07444432066843099,1
1,135,-0.018658015796297334,-1
1,144,0.09942724131235853,1
1,149,0.10952190474154927,1
1,157,0.11788662743366102,1
1,169,0.040719551014226085,1
1,185,0.0666013166166548,1
1,210,-0.04737610965252126,-1
1,211,0.10439267218720477,1
1,212,0.01955334644684026,1
1,217,0.027981012419884044,1
1,221,-0.007830007340613343,-1
1,222,0.008972736398944636,1
1,233,0.02319527484947448,1
1,239,0.04815023175226363,1
1,245,-0.10026592463209016,-1
1,248,0.08280015880411268,1
1,251,-0.11010619226777796,-1
1,252,-0.07294166259657742,-1
1,259,-0.021457171865423175,-1
1,263,-0.1157766137613383,-1
1,265,0.03154998671229692,1
1,267,0.1061252033610427,1
1,274,0.10039260986780568,1
1,286,0.03971146038656037,1
1,290,0.09050432784288426,1
1,291,0.08534247041777254,1
1,292,-0.06959695618482087,-1
1,293,0.11345327167429431,1
1,295,0.0922938619028209,1
1,303,-0.06987945587215649,-1
1,304,-0.0518305662042321,-1
1,311,0.004631413175471111,1
1,315,0.03199529762940506,1
1,316,0.037199426075719966,1
1,318,0.08153566368865406,1
1,321,0.028368274198869003,1
1,323,0.04618561917800329,1
1,330,0.0401550193325933,1
1,333,0.040666060063899445,1
1,334,0.07719780779498725,1
1,335,0.05616542975804406,1
1,346,0.07241781873630887,1
1,347,0.09901861847920923,1
1,349,0.07425517155163425,1
1,353,0.098144920392433,1
1,360,-0.16455161270466612,-1
1,367,0.08864813720582698,1
1,373,0.004753267956065899,1
1,376,0.12321431867145433,1
1,379,0.12914007573308217,1
1,381,0.12717565515031176,1
1,388,0.0888476350368313,1
1,393,0.07441038041285963,1
1,394,0.10552599029129683,1
1,399,0.10472710938508961,1
1,400,0.0937491328374851,1
1,408,0.1181429721255291,1
1,410,0.11901783416943301,1
1,416,0.06354862586484383,1
1,427,-0.1253741841424566,-1
1,439,0.07515597657436884,1
1,440,0.03788880014976298,1
1,447,0.06104639329271366,1
1,450,0.08683415479132117,1
1,453,0.11097361048327598,1
1,456,0.061417893897086184,1
1,457,0.0990288385786608,1
1,461,0.07731457258545271,1
1,462,0.1040718740619963,1
1,465,-0.07869459614350882,-1
1,467,0.1095487528393031,1
1,474,0.08496241954398026,1
1,480,0.11531569108223094,1
1,483,0.11791395368220625,1
1,487,0.13170995714441075,1
1,496,0.02848048461086594,1
1,500,0.13359135665702615,1
1,509,0.13655451857390993,1
1,510,-0.08335996116438571,-1
1,511,0.09763249270945817,1
1,513,0.046841742131408126,1
1,518,0.05636646525696315,1
1,532,0.05479845217539853,1
1,533,0.08346399521012832,1
1,538,-0.22981949899330922,-1
1,542,0.1342399568031688,1
1,543,0.12402364305052005,1
1,550,0.006054874236354868,1
1,554,0.08979735308054237,1
1,563,0.12011186796054496,1
1,567,0.08786683846845805,1
1,568,0.012417149528473947,1
1,576,0.12352514070068599,1
1,577,0.11287676846499156,1
1,582,0.12075375246262221,1
1,586,0.12459682552157841,1
1,590,-0.06607745215573746,-1
1,591,0.11841764989330389,1
1,592,0.11531782240528315,1
1,594,-0.21337872174142025,-1
1,603,0.018162609188449474,1
1,605,-0.08250313439947077,-1
1,611,0.016655923854077992,1
1,617,0.10232044763572007,1
1,620,-0.0626514023685737,-1
1,621,0.11223523433315974,1
1,623,-0.07544780095919912,-1
1,624,0.0019080010879238274,1
1,625,0.07034265165408926,1
1,637,0.0057455832179227895,1
1,647,-0.14064633281347427,-1
1,648,0.1054606636066473,1
1,653,-0.13457522056703652,-1
1,655,0.013005133368212796,1
1,668,0.10433496760644462,1
1,673,-0.12151914301113953,-1
1,676,0.07282553383507057,1
1,683,0.040440592514915774,1
1,696,0.05228598223238046,1
1,700,0.053206543614691126,1
1,704,0.08844196500662321,1
1,705,-0.02541440181313348,-1
1,708,0.043549497642049184,1
1,710,0.085309940894719,1
1,711,0.025091804331459355,1
1,712,0.0642294751858642,1
1,713,0.1227608367699834,1
1,715,0.12117118075860706,1
1,718,0.09510901056875953,1
1,730,0.09429793125018143,1
1,733,0.11440357878625473,1
1,735,0.08582374447250307,1
1,736,-0.03399793249876326,-1
1,738,0.10169275554527102,1
1,742,-0.09475680855723001,-1
1,743,0.07886631561064344,1
1,745,0.03797546861826001,1
1,747,-0.041831581670701,-1
1,758,-0.18390721278755362,-1
1,761,0.017844737821734624,1
1,763,0.07808776341822005,1
1,764,0.0627169684757033,1
1,765,-0.07335631487526195,-1
1,766,0.10004748488478915,1
1,774,-0.057531606025109094,-1
1,782,0.13249499696772227,1
1,789,0.06918352388738791,1
1,792,0.11407465198705091,1
1,794,0.12067364002490244,1
1,795,-0.1121585551918064,-1
1,799,0.010300713085639845,1
1,809,0.041967696201229476,1
1,828,0.045374155077813894,1
1,837,-0.019263395921685023,-1
1,841,0.1270044700099497,1
1,850,0.10604770810711195,1
1,852,0.11769848127304827,1
1,856,0.12245602197418037,1
1,858,0.13394723602081965,1
1,866,0.10569942547071653,1
1,871,0.10704648177580117,1
1,872,0.09969906193078476,1
1,879,0.08919681290443315,1
1,883,0.11070357060806602,1
1,900,0.13721857804939924,1
1,906,0.11904639232490688,1
1,908,0.12737722389426426,1
1,914,0.1359772257779498,1
1,921,0.09468749814409366,1
1,927,0.05670827217830787,1
1,932,0.022873176800709105,1
1,934,0.10645604553049298,1
1,937,0.11333114179263709,1
1,940,0.10988864652348607,1
1,952,0.10003274446790239,1
1,958,0.11734802799784733,1
1,960,0.07233450082597137,1
1,965,0.083445909841311,1
1,967,0.10244012227052524,1
1,970,0.11413347631209458,1
1,971,0.0978525178101472,1
1,993,0.07514283088002871,1
1,994,0.04946584392831127,1
1,1002,0.027456619512533254,1
1,1009,0.13064882104405273,1
1,1010,0.09729501184413669,1
1,1018,0.11223768456200073,1
1,1020,0.12286182827849251,1
1,1022,0.13226979102807385,1
1,1026,0.13176668633711897,1
1,1034,0.12716966151662978,1
1,1038,0.1274678952355543,1
1,1046,0.05180542205361621,1
1,1056,0.11893844823551575,1
1,1068,0.0829927528280821,1
1,1071,0.10918025589815578,1
1,1076,0.12796380249649186,1
1,1078,0.09922971909062173,1
1,1084,0.09841729067346594,1
1,1087,0.06390046180367698,1
1,1090,0.06246407124241221,1
1,1097,0.07103277655512308,1
1,1103,0.06396031676024827,1
1,1107,0.09190521856171197,1
1,1109,0.12784644867084966,1
1,1111,0.0910065699387842,1
1,1112,0.08179795181912097,1
1,1113,0.02777888308952914,1
1,1118,0.11868056746673544,1
1,1121,-0.02378183756836616,-1
1,1123,0.0709825137216561,1
1,1142,0.09895309878418385,1
1,1144,0.1034500234812562,1
1,1145,-0.016523915246798748,-1
1,1147,0.07830444841117862,1
1,1149,0.08823704957986522,1
1,1155,0.08352528495425177,1
1,1156,0.08233385953470934,1
1,1160,0.07700525196319219,1
1,1162,0.07646118246005751,1
1,1175,0.048252080549779586,1
1,1180,0.12556207399279906,1
1,1183,0.0007458639497747721,1
1,1188,-0.0009907401870866694,-1
1,1190,0.08534191284697185,1
1,1194,0.060471743537900635,1
1,1195,0.10660158503529643,1
1,1199,0.11543354176447967,1
1,1208,0.1153542645845661,1
1,1210,0.12107866137776507,1
1,1217,-0.1220099410360227,-1
1,1220,0.04783407870916245,1
1,1222,0.058911759501584504,1
1,1224,0.041008869296128514,1
1,1245,0.09351053815515048,1
1,1247,0.12406063566748565,1
1,1250,-0.0748534853790429,-1
1,1253,0.09934354724088823,1
1,1254,0.09156075112615525,1
1,1261,0.11176642968270145,1
1,1263,0.0436769129077364,1
1,1277,0.08986622675601147,1
1,1285,0.11143590369061551,1
1,1295,0.08756487886478148,1
1,1297,0.05894611278757039,1
1,1310,0.10269789710587279,1
1,1313,0.10151404260086244,1
1,1314,0.10116246685928837,1
1,1315,0.1218855022208668,1
1,1318,0.1092177792762975,1
1,1328,0.06804770665674126,1
1,1330,0.008867646856311251,1
1,1339,0.1086433812315391,1
1,1346,0.10139494306894148,1
1,1347,0.1091262664855247,1
1,1349,0.11915838741356549,1
1,1355,0.10141807091714555,1
1,1360,0.127114354944522,1
1,1369,0.09381258047134317,1
1,1372,0.1026910290725116,1
1,1373,0.12159444015330784,1
1,1383,0.08011525120756502,1
1,1393,0.12160470226957298,1
1,1400,0.08044536154606868,1
1,1402,0.12331720648572797,1
1,1406,0.08884653674937415,1
1,1408,0.09404030476425551,1
1,1413,0.08060174837496875,1
1,1418,0.1076247556647335,1
1,1432,0.06621568095236702,1
1,1438,0.11150032749672106,1
1,1441,0.12757516853548007,1
1,1446,0.1162699362676245,1
1,1453,0.11123422832475766,1
1,1458,0.1142489323575191,1
1,1470,0.09022281088916673,1
1,1472,0.1324765669856432,1
1,1479,0.13680153321827887,1
1,1482,0.045616519195798566,1
1,1488,0.1259325998151311,1
1,1494,0.13205079634842465,1
1,1496,0.08598058114401441,1
1,1498,0.04448231877700587,1
1,1501,0.1185371368653807,1
1,1508,0.11981830981904079,1
1,1509,0.1291499993220322,1
1,1512,0.08522839699750256,1
1,1513,0.13359642123134852,1
1,1516,0.12823104805731778,1
1,1523,0.12690158411636787,1
1,1527,0.09581751935278682,1
1,1530,0.09546162346195652,1
1,1536,0.09421253717294875,1
1,1543,0.1238652622940048,1
1,1550,0.09623642302762142,1
1,1554,0.10174273778675064,1
1,1558,0.1182127068573286,1
1,1562,0.11430927741052871,1
1,1568,0.0023494459780569743,1
1,1569,0.10689726042221742,1
1,1575,0.12253956880658606,1
1,1576,0.12445188950774877,1
1,1578,0.12447824059861456,1
1,1593,0.1346206630609128,1
1,1595,0.13509935593113254,1
1,1597,0.11060336171226054,1
1,1599,0.12219503524451186,1
1,1606,0.03729449589073225,1
1,1608,0.07272372805460248,1
1,1612,0.08788566474400633,1
1,1616,0.10952768067638585,1
1,1617,0.1050166786815736,1
1,1618,0.1344619554830599,1
1,1623,0.1433472540823139,1
1,1626,0.07009708975609052,1
1,1631,0.12347712085654255,1
1,1634,0.018512519992851306,1
1,1650,0.139350745515119,1
1,1655,0.058282611015948615,1
1,1658,0.11815062680197874,1
1,1660,0.12096065344390106,1
1,1662,0.02289005055540716,1
1,1669,0.13710328765646157,1
1,1670,0.13273942453937454,1
1,1671,0.13630428327329736,1
1,1672,0.13972906112319383,1
1,1683,0.04961513750525037,1
1,1684,0.14170434964330275,1
1,1688,0.1283553656855962,1
1,1691,0.1348935694782709,1
1,1692,-0.0076547278840114474,-1
1,1702,0.14438342147837502,1
1,1713,0.07596031150685462,1
1,1718,0.1343728550661299,1
1,1726,0.03394445804417118,1
1,1730,0.006856893978325118,1
1,1731,0.1477855128953086,1
1,1732,-0.07739052375668287,-1
1,1737,0.0946634321953731,1
1,1740,0.14395800361429295,1
1,1741,0.08961443113350093,1
1,1746,0.14119701859309475,1
1,1747,0.14379764100977782,1
1,1758,0.11936087381267124,1
1,1760,0.05372429700424275,1
1,1765,0.13894375909895929,1
1,1766,0.11310448823018454,1
1,1768,0.123298303813965,1
1,1775,0.10393809685157318,1
1,1780,0.13525187336884936,1
1,1783,0.12748634401603265,1
1,1785,0.10201127650411496,1
1,1791,0.12514404720418892,1
1,1793,0.1443234521954621,1
1,1794,0.14628745195387027,1
1,1795,0.11674239277735587,1
1,1803,0.08370455556471262,1
1,1805,0.11848953078536578,1
1,1807,0.12080710075301049,1
1,1817,0.1377680660278639,1
1,1825,0.12732595878542136,1
1,1833,0.131425622954623,1
1,1835,0.14275684425447266,1
1,1851,0.1228000872024807,1
1,1862,0.12014431971598005,1
1,1864,0.11329471588595741,1
1,1877,0.14922806802741906,1
1,1880,0.11626864534267511,1
1,1883,0.14511408061743303,1
1,1886,0.11140561027465956,1
1,1891,0.14002668875663304,1
1,1897,0.13506052705289423,1
1,1901,0.08971931797005067,1
1,1915,0.10387684064538871,1
1,1921,0.12172918318588821,1
1,1923,0.12412419518090972,1
1,1937,0.1377787916897078,1
1,1941,0.13772855253973165,1
1,1953,0.12988776268589175,1
1,1954,0.1380401798803123,1
1,1957,0.13602242692894234,1
1,1963,0.12431920695553422,1
1,1964,0.15197603677225296,1
1,1965,0.14606338547765468,1
1,1981,0.11240699206088228,1
1,2009,0.15200506616368997,1
1,2012,0.13875671877549828,1
1,2018,0.14746116671724557,1
1,2020,0.14867874580726437,1
1,2025,0.1126996781635729,1
1,2029,0.13874592812679526,1
1,2030,0.11849542238889071,1
1,2036,0.116621030810728,1
1,2039,0.1473048361170417,1
1,2045,0.13472434651990656,1
1,2055,-0.0037694677881476846,-1
1,2067,0.13071249279138542,1
1,2069,0.14274164688848262,1
1,2072,0.09077608390902825,1
1,2075,0.14109841253306815,1
1,2088,0.027417919599657725,1
1,2098,0.10172233053151819,1
1,2107,0.1420992931772745,1
1,2108,0.12110083675233208,1
1,2109,0.1199578467228194,1
1,2110,0.11772190715794112,1
1,2114,0.12040109639901203,1
1,2119,0.14996552887727083,1
1,2122,0.12443093116241505,1
1,2124,0.1482742543539049,1
1,2127,0.1338345246941106,1
1,2128,0.0603173402166996,1
1,2133,0.13488393992948416,1
1,2138,0.13818615674686963,1
1,2145,0.09989125293875106,1
1,2150,0.12586501668820094,1
1,2152,0.11580785819838435,1
1,2157,0.12425376858287779,1
1,2165,0.10668007341268315,1
1,2167,0.10289604679596959,1
1,2168,0.08532443643705845,1
1,2178,0.11196517977833015,1
1,2183,0.12934630622479676,1
1,2184,0.11353700365198305,1
1,2189,0.1084362272134548,1
1,2191,0.14576940885576367,1
1,2199,0.08290677137571512,1
1,2210,0.1146399549283752,1
1,2213,0.11039313720064714,1
1,2215,0.12295862847872063,1
1,2221,0.12182440168847614,1
1,2227,0.1077603694686668,1
1,2232,0.09742574731075054,1
1,2233,0.11970701390295568,1
1,2236,0.027398456842324448,1
1,2239,0.08660903705956874,1
1,2249,0.04545995290571847,1
1,2252,0.11261213964865774,1
1,2254,0.10194322765983199,1
1,2260,0.14274753015079256,1
1,2270,0.14768678394675627,1
1,2273,0.11621468774870708,1
1,2275,0.1270195583454543,1
1,2286,0.011710246375129352,1
1,2287,0.06620875443161456,1
1,2288,0.11856060760146225,1
1,2291,0.06595487665740235,1
1,2301,0.08919668568980071,1
1,2303,0.1125399422483111,1
1,2310,0.07635814935983087,1
1,2316,0.13887219929523714,1
1,2319,0.12638221265980715,1
1,2328,0.09670087725417392,1
1,2335,0.03598814801153433,1
1,2337,0.10935837241736585,1
1,2340,0.01372065769511882,1
1,2344,0.09472029450897906,1
1,2348,-0.01030357108874802,-1
1,2360,0.02016872810710718,1
1,2375,0.09170739178711063,1
1,2377,0.11500980376743969,1
1,2388,0.05006368098155106,1
1,2389,0.08844161653486382,1
1,2391,0.043722748330347116,1
1,2392,0.12780645402056012,1
1,2405,0.13437558111118925,1
1,2406,0.08929277442689892,1
1,2407,0.13605309695630063,1
1,2412,0.1254867737323479,1
1,2423,0.06878406654480512,1
1,2425,0.11350728807716426,1
1,2444,0.03666833057134705,1
1,2447,0.14589902915964237,1
1,2453,0.15391473293522673,1
1,2455,0.10819004042186614,1
1,2458,0.13397134896043494,1
1,2464,0.12475746590605147,1
1,2465,0.14842596408351527,1
1,2470,0.14416738323249878,1
1,2473,0.10718997691819249,1
1,2474,0.12051271553829573,1
1,2478,0.11667221610272321,1
1,2483,0.03941410412520274,1
1,2484,0.1370231138310195,1
1,2485,0.15027919177500648,1
1,2487,0.14246092948302963,1
1,2492,0.13361241419916053,1
1,2498,0.1186033851207518,1
1,2507,0.09653595906440282,1
1,2513,0.13392234304696166,1
1,2515,0.13537939413545802,1
1,2516,0.10535159875114436,1
1,2517,0.12902025924205163,1
1,2519,0.1412950596046061,1
1,2531,0.07869373550744363,1
1,2534,0.06155616071189207,1
1,2542,0.1200038510926471,1
1,2564,0.12745881507743795,1
1,2574,0.14254096930914478,1
1,2586,0.10848579781903761,1
1,2588,0.12151270018385457,1
1,2592,0.08980375319563572,1
1,2602,0.10014099520853192,1
1,2614,0.03763125291924957,1
1,2615,0.1275702508951514,1
1,2620,-0.029782068699435338,-1
1,2625,0.1014216044227359,1
1,2627,0.1289893255044688,1
1,2638,0.14247306757902628,1
1,2648,0.14581385367212968,1
1,2650,0.13256664402146984,1
1,2664,0.10966920491575555,1
1,2676,0.10359064875982965,1
1,2678,0.1297802748388101,1
1,2680,0.11091918196231193,1
1,2684,0.13928008603333214,1
1,2689,0.1022851999655629,1
1,2691,0.12256453316212967,1
1,2692,0.1353020630134934,1
1,2697,0.11706768830524045,1
1,2698,0.13093320123849206,1
1,2701,0.14792672674673046,1
1,2707,0.12985986454308796,1
1,2724,0.09395208869078908,1
1,2732,0.014926538668923961,1
1,2742,0.1434580522157472,1
1,2748,0.12431562282685804,1
1,2750,0.1239005747141389,1
1,2751,0.14406525702810413,1
1,2753,0.12119152377711107,1
1,2754,0.1006791319766066,1
1,2758,0.046400952500950554,1
1,2766,0.12192750809942865,1
1,2769,0.09421139278214086,1
1,2770,0.018623662308923705,1
1,2771,0.04016750456503981,1
1,2777,0.14720223941994792,1
1,2794,0.13818790791459018,1
1,2807,0.13102436223418445,1
1,2816,0.10409253732379387,1
1,2818,0.12707834650538563,1
1,2820,0.13221645810395072,1
1,2823,0.118919988775392,1
1,2826,0.09656730634024352,1
1,2833,0.13721228815444714,1
1,2835,0.11330209135004005,1
1,2840,0.12331227580996867,1
1,2846,0.1371524929900026,1
1,2848,0.10684812836032986,1
1,2855,0.10350422566893935,1
1,2859,0.040490194470455376,1
1,2862,0.12832218153774916,1
1,2870,0.057818989250595976,1
1,2874,0.0898365502735688,1
1,2876,0.06603635544144443,1
1,2884,0.1213053801311656,1
1,2885,0.12574325903699307,1
1,2886,0.05610461810862177,1
1,2907,0.06571067397380337,1
1,2908,0.09632164210520494,1
1,2919,0.10299293197257237,1
1,2926,0.13317644115405208,1
1,2927,-0.14697434642739338,-1
1,2930,0.14182628697717836,1
1,2932,0.0582986882355907,1
1,2935,0.1213291148964522,1
1,2943,0.1356445359488539,1
1,2954,0.14216971198757977,1
1,2957,0.13385089487721485,1
1,2960,0.14003264498074353,1
1,2963,0.1414993969518119,1
1,2970,0.11946742850541198,1
1,2973,0.13535370123384155,1
1,2982,0.14643924131193453,1
1,2984,0.12520819716059883,1
1,2991,0.12677417481069198,1
1,2995,0.09911088155333525,1
1,3002,0.09652208396449952,1
1,3011,0.14837015258686842,1
1,3012,0.13669344029338204,1
1,3014,0.040968156514012866,1
1,3015,0.0908273338388697,1
1,3017,0.12001663345841346,1
1,3021,0.12705859668043434,1
1,3024,0.1322070716076989,1
1,3025,0.12354001096829631,1
1,3034,0.08612600667754011,1
1,3043,0.06710384762265242,1
1,3045,0.04698940375788779,1
1,3047,0.10124790631595565,1
