fold,fpr,mediana,q1,q3,min,max
1,0.06191646191646192,5.028550611451882,3.381690273366827,6.323818196129759,-11.802461821422277,9.67628976757989
2,0.05552825552825553,4.778055797399674,3.138509557350136,6.104502094319173,-11.601365028927475,9.821711725753616
3,0.03931203931203931,4.891924150188084,3.5469194080746664,6.0362970002516985,-9.89754782399981,10.463089440962369
4,0.06044226044226044,5.1502500175268615,3.4718477605753284,6.4517639772646405,-11.772389688601672,10.120603121527061
5,0.05601965601965602,4.939593433641312,3.410734717085817,6.182232944253878,-11.784394846972464,9.98217286695253
